ID,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
ASV1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV47,331,255,271,86,191,184,193,296,250,221,280,361,501,555,481,392,261,261,54,228,362,296,328,170
ASV1059,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV971,0,23,0,2,0,0,0,46,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,15
ASV218,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ASV1272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV206,3,7,4,6,18,6,6,1,0,4,2,0,6,2,0,0,0,0,4,0,0,0,0,0
ASV405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV422,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,4
ASV1018,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
ASV1071,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV180,7,1,2,1,5,0,0,0,0,4,0,1,7,13,13,81,13,12,5,11,12,6,11,8
ASV247,0,5,0,0,0,0,8,8,0,4,7,2,5,6,1,0,0,0,2,26,69,3,3,8
ASV795,13,4,5,10,5,6,2,0,0,0,0,7,0,0,0,2,5,2,0,6,3,0,0,0
ASV1262,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV1022,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV140,22,7,22,32,30,16,19,11,12,15,19,21,11,6,11,20,5,4,9,20,9,18,12,9
ASV928,3,6,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV359,0,0,0,0,0,4,0,2,0,7,0,0,3,0,3,0,0,0,0,0,2,4,0,0
ASV1266,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1207,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV109,63,64,75,26,68,110,170,270,128,109,132,94,128,384,270,104,96,109,14,52,89,47,41,17
ASV363,3,5,0,0,5,0,0,0,0,0,3,2,3,0,2,3,1,0,0,9,4,0,0,0
ASV1026,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0
ASV1020,4,7,0,0,0,0,0,0,0,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0
ASV290,2,6,0,0,5,0,0,5,5,5,7,5,7,7,6,6,7,5,0,8,6,4,4,7
ASV388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,55,0
ASV964,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV215,0,5,4,0,0,4,0,6,0,3,4,4,3,3,3,2,5,0,3,2,0,2,3,4
ASV940,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV942,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV387,0,8,7,0,0,0,0,0,0,0,7,0,4,9,4,0,0,0,0,0,0,0,8,0
ASV52,28,12,22,27,17,19,3,6,19,30,12,23,16,44,26,49,33,28,52,52,35,62,54,41
ASV225,2,5,5,3,5,0,3,2,0,0,3,4,0,0,0,1,0,2,3,1,1,6,2,0
ASV1008,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV407,0,0,0,3,6,0,2,0,2,6,2,0,0,2,2,9,8,7,0,2,1,6,2,3
ASV1045,0,2,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ASV1166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV955,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0
ASV445,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,7,29,0,0,0,3,16,7
ASV318,12,0,0,0,0,6,0,0,1,0,0,0,0,9,7,4,0,0,0,8,12,8,0,7
ASV332,3,4,0,0,0,0,5,9,0,0,0,0,6,2,7,4,0,1,0,0,0,0,0,0
ASV399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ASV1226,0,5,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0
ASV959,6,0,4,0,0,0,2,0,0,0,0,0,0,3,0,0,1,4,0,7,0,4,0,0
ASV1134,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV1046,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ASV1178,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV158,8,6,5,2,3,10,5,9,4,4,7,3,5,18,10,13,0,12,6,4,10,10,7,7
ASV1137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1077,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
ASV341,3,0,3,3,0,5,0,0,0,6,0,0,0,0,6,0,3,0,0,0,0,0,0,0
ASV802,8,6,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV104,12,18,10,11,16,16,0,12,6,22,12,20,11,10,5,16,1,11,17,14,16,7,19,11
ASV266,2,4,3,0,3,0,3,2,10,9,6,0,26,19,17,9,5,16,0,0,2,2,7,4
ASV82,15,25,27,0,36,31,19,53,39,49,20,63,36,33,33,51,40,40,25,27,52,38,37,44
ASV97,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,6,0,5,17,0,7,15,7,4
ASV94,26,64,6,12,17,15,26,10,34,9,18,15,47,29,23,23,21,20,19,35,32,36,40,30
ASV909,3,4,5,4,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV123,35,22,13,26,27,22,28,25,21,15,39,32,39,80,32,27,25,22,13,40,40,10,24,21
ASV576,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ASV310,11,2,5,7,5,0,0,5,4,0,0,8,0,11,3,4,2,0,0,2,3,3,2,0
ASV1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV257,0,0,0,0,0,26,38,0,0,0,27,0,56,95,39,44,27,0,0,27,53,38,31,0
ASV256,0,0,0,0,0,0,0,50,0,0,19,0,22,78,30,27,16,22,0,33,55,57,34,53
ASV1142,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
ASV962,0,0,0,0,1,1,3,0,0,0,0,0,3,7,0,0,1,0,0,0,2,0,0,0
ASV1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
