"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_50","OTU_50",2,0,0.000904876300845433,0.0348588491436948,0.167666666666667,"M2",-1.27471000359633,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__"
"OTU_305","OTU_305",3,4,0.171182251299291,0,0.101555555555556,"M8",1.11803398874989,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Syntrophus","s__"
"OTU_1","OTU_1",21,2,0.00108392164059597,0.515116850270273,1.02644444444444,"M2",0.0018663396831572,0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae 1","g__Clostridium sensu stricto 13","s__"
"OTU_41","OTU_41",1,0,0.000635030654648558,0.000134072732571687,0.116777777777778,"M14",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__PeM15","f__","g__","s__"
"OTU_59","OTU_59",3,2306,0.000892181210019923,0.0102106912407419,0.407111111111111,"M6",0,0.444444444444444,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__","f__Draconibacteriaceae","g__","s__"
"OTU_2733","OTU_2733",1,0,1.40532821762182,0,0.0474444444444444,"M17",NA,NA,NA,"k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__RB41","g__","s__"
"OTU_4050","OTU_4050",2,4,0.0122395567778051,8.23187056872254e-18,0.0142222222222222,"M4",-0.295393520039156,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 15","f__","g__","s__"
"OTU_4147","OTU_4147",23,2412,0.0012500341711392,0.00164372158612218,0.0451111111111111,"M3",2.97029270797519,0.476370510396975,"Module hubs","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Halioglobus","s__"
"OTU_12367","OTU_12367",2,1,0.69612759902429,1.64637411374451e-17,0.0197777777777778,"M12",1.15470053837925,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__","s__"
"OTU_1646","OTU_1646",5,62,0.0012398986674893,0.00121519658142659,0.0304444444444444,"M1",-0.708751260048878,0.32,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__","f__","g__Marinicella","s__"
"OTU_55","OTU_55",3,0,0.00100848734103779,0.0824535354200721,0.171666666666667,"M2",-1.20752177500268,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__RB41","g__","s__"
"OTU_84","OTU_84",1,0,0.000631461011704402,0.000138881424974243,0.279555555555556,"M14",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Illumatobacter","s__"
"OTU_3303","OTU_3303",3,6,0.19725946493932,0,0.0653333333333333,"M8",1.11803398874989,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__"
"OTU_16","OTU_16",3,7,0.189374616821349,8.23187056872254e-18,0.377111111111111,"M7",1.11803398874989,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__"
